,name,all artists,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y
0,Mean,"$NOT, Flo Milli","emo rap, florida rap, sad rap, underground hip hop, vapor trap","pop, viral rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Moon & Stars (feat. Maggie Lindemann),"$NOT, Maggie Lindemann","emo rap, florida rap, sad rap, underground hip hop, vapor trap","dance pop, pop, post-teen pop, social media pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Human (feat. Night Lovell),"$NOT, Night Lovell","emo rap, florida rap, sad rap, underground hip hop, vapor trap","canadian hip hop, dark trap, emo rap, ottawa rap, underground hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lovely,"$NOT, SUS Valentino","emo rap, florida rap, sad rap, underground hip hop, vapor trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BERETTA (feat. Wifisfuneral),"$NOT, Wifisfuneral","emo rap, florida rap, sad rap, underground hip hop, vapor trap","dark trap, emo rap, florida rap, miami hip hop, rap, trap, underground hip hop, vapor trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Like Me (feat. iann dior),"$NOT, iann dior","emo rap, florida rap, sad rap, underground hip hop, vapor trap","melodic rap, pop rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mando (feat. Mozzy),"$tupid Young, Mozzy","asian american hip hop, cali rap, west coast trap","cali rap, rap, sacramento hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ultimate $uicide,"$uicideBoy$, Denzel Curry","dark trap, new orleans rap, underground hip hop","dark trap, drill, hip hop, miami hip hop, rap, underground hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Obey The Walrus,"$uicideBoy$, Germ","dark trap, new orleans rap, underground hip hop","dark trap, emo rap, phonk, underground hip hop, vapor trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Runnin' Thru The 7th With My Woadies,"$uicideBoy$, Pouya","dark trap, new orleans rap, underground hip hop","dark trap, emo rap, miami hip hop, underground hip hop, vapor trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sarcophagus III,"$uicideBoy$, Ramirez","dark trap, new orleans rap, underground hip hop","dark trap, phonk, underground hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Venom,"$uicideBoy$, Shakewell","dark trap, new orleans rap, underground hip hop","dark trap, emo rap, underground hip hop, vapor trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Aliens Are Ghosts ($UICIDEBOY$ X TRAVIS BARKER),"$uicideBoy$, Travis Barker","dark trap, new orleans rap, underground hip hop",rap rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Music of My Heart,"*NSYNC, Gloria Estefan","boy band, dance pop, europop, pop","dance pop, latin, latin pop, new wave pop, pop, soft rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Space Cowboy (Yippie-Yi-Yay) (feat. Lisa ""Left Eye"" Lopes)","*NSYNC, Lisa Left Eye Lopes","boy band, dance pop, europop, pop","hip pop, r&b, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Girlfriend (feat. Nelly) - The Neptunes Remix,"*NSYNC, Nelly","boy band, dance pop, europop, pop","dance pop, hip hop, pop rap, rap, southern hip hop, st louis rap, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Make You Smile,+44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Isolate,...Bender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
